,year,Region,population,mortality_rate_100k,rGDP,proportion_under15,proportion_over60,life_expectancy,infant_death_rate_per100k,maternal_death_rate_per100k,population_density,WHO_PD,PD
138,2022,MIMAROPA,3295749,500.0,375233815.7876932,34.20136836141492,8.52140604985712,72.34648762553994,1351.006517323529,104.13414377459848,111.0,10,9.585249616442356
139,2023,MIMAROPA,3327535,500.0,401350089.3665167,34.05410561648933,8.69120264874747,72.58648762553995,1351.006517323529,104.13414377459848,112.0,10,9.753223067221157
140,2024,MIMAROPA,3357990,500.0,428401085.3898199,33.90582954903887,8.86166309743181,72.82648762553994,1351.006517323529,104.13414377459848,113.0,10,9.923472724884146
141,2025,MIMAROPA,3387415,500.0,456075795.5060023,33.75794349160936,9.031356954629171,73.06648762553993,1351.006517323529,104.13414377459848,114.0,10,10.094878243067813
142,2026,MIMAROPA,3417109,500.0,485583899.4752406,33.32764090147895,9.288003188374748,73.26648762553994,1351.006517323529,104.13414377459848,115.0,10,10.491914854265504
143,2027,MIMAROPA,3447096,500.0,517146852.9411312,32.93011560226224,9.525099996998721,73.46648762553994,1351.006517323529,104.13414377459848,116.0,10,10.868928365407513
144,2028,MIMAROPA,3477365,500.0,550761398.3823048,32.56175989792433,9.74479912585679,73.66648762553993,1351.006517323529,104.13414377459848,117.0,10,11.22756116313481
145,2029,MIMAROPA,3507923,500.0,586560889.2771546,32.21947680562387,9.94894771461402,73.86648762553995,1351.006517323529,104.13414377459848,118.0,10,11.56930119759776
146,2030,MIMAROPA,3538763,500.0,624687347.0801696,31.90059277263821,10.13914035566358,74.06648762553993,1351.006517323529,104.13414377459848,119.0,10,11.89549549098282
147,2010,V - Bicol,5420411,579.2918655061396,246110917.8,38.48732758777763,7.31556219594409,68.55421247663561,1197.5556740351883,118.93532379116596,299.0,10,5.848974373300831
148,2011,V - Bicol,5494390,599.6661831553208,266892593.7,38.02010683076224,7.43921451603072,68.85421247663561,1186.8919356042695,116.94742342432008,303.0,10,6.192480700620467
149,2012,V - Bicol,5568369,593.7824455396224,298247874.3,37.562948569956674,7.5602037459538005,69.1542124766356,1122.6001937230424,108.4517886266361,307.0,10,6.539199252806747
150,2013,V - Bicol,5642348,598.1728955917399,332295863.1,37.1155311958319,7.67861500129059,69.45421247663562,1260.3673356886918,102.7337192112055,311.0,10,6.8888150823459915
151,2014,V - Bicol,5716327,616.7071104634692,366663555.5,36.67754665975649,7.794529808658621,69.75421247663562,1282.693570120582,119.1998065162561,315.0,10,7.241035655802265
152,2015,V - Bicol,5790307,605.9436917593489,395256950.6,36.248699766696305,7.908026292906401,70.05421247663561,1137.9220553771372,98.94974394583802,319.0,10,7.595589213318685
153,2016,V - Bicol,5865520,617.6434484922053,431762418.8,35.8935098678378,8.03493978368499,70.29421247663561,1306.7222547634635,101.64352410157464,323.0,10,7.894042995492194
154,2017,V - Bicol,5937321,624.0524977510901,465966050.3,35.53899140706726,8.16100392752893,70.53421247663562,1212.3151308304894,116.4320250284414,327.0,10,8.197755757497934
155,2018,V - Bicol,6005949,604.9168915686763,522014834.7,35.1839983989208,8.286983455903469,70.77421247663561,1419.1150215613927,108.9514113327779,331.0,10,8.507555569869266
156,2019,V - Bicol,6071398,629.3937574179786,560835429.2,34.8286341959463,8.4126917721421,71.01421247663562,1233.441627956769,101.46802826210404,335.0,10,8.823383374682841
157,2020,V - Bicol,6133836,567.1654736122713,515793741.0,34.47187045757336,8.538653462531439,71.25421247663562,1050.4310389435666,155.2361141295911,338.0,10,9.146050595929053
158,2021,V - Bicol,6153823,603.0,532402299.4602,34.115742418282544,8.66411407600028,71.49421247663561,1219.0959853276902,113.54080985181008,339.0,10,9.474011326499848
159,2022,V - Bicol,6223244,603.0,565943644.3261926,33.759289519675875,8.789499112075621,71.7342124766356,1219.0959853276902,113.54080985181008,343.0,10,9.808009424865123
