,year,Region,Age,population
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,466700.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,454000.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,389200.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,269500.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,229600.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,228600.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,203000.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,174400.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,137700.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,465700.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,89600.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,62100.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,40500.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,26000.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,14800.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,7000.0
0,2010,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,5700.0
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,480600.4
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,462938.6
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,395500.8
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,280705.6
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,241336.2
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,232471.6
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,211318.0
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,179865.2
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,142810.8
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,483233.0
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,93626.8
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,64253.0
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,41732.6
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,26764.6
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,15346.0
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,7494.4
1,2011,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,6253.2
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,494500.8
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,471877.2
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,401801.6
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,291911.2
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,253072.4
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,236343.2
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,219636.0
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,185330.4
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,147921.6
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,500766.0
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,97653.6
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,66406.0
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,42965.2
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,27529.2
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,15892.0
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,7988.8
2,2012,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,6806.4
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,508401.2
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,480815.8
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,408102.4
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,303116.8
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,264808.6
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,240214.8
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,227954.0
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,190795.6
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,153032.4
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,518299.0
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,101680.4
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,68559.0
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,44197.8
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,28293.8
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,16438.0
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,8483.2
3,2013,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,7359.6
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,522301.6
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,489754.4
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,414403.2
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,314322.4
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,276544.8
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,244086.4
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,236272.0
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,196260.8
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,158143.2
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,535832.0
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,105707.2
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,70712.0
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,45430.4
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,29058.4
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,16984.0
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,8977.6
4,2014,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,7912.8
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,536202.0
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,498693.0
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,420704.0
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,325528.0
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,288281.0
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,247958.0
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,244590.0
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,201726.0
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,163254.0
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,553365.0
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,109734.0
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,72865.0
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,46663.0
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,29823.0
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,17530.0
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,9472.0
5,2015,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,8466.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,543969.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,501664.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,423530.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,335987.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,300495.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,257999.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,245326.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,202699.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,167083.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,556201.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,115688.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,79260.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,52010.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,32779.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,19309.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,10361.0
6,2016,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,8782.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,551826.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,504539.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,426295.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,346730.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,313076.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,268348.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,246006.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,203631.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,170992.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,558921.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,121826.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,85875.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,57545.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,35838.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,21153.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,11282.0
7,2017,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,9108.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,559783.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,507321.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,429000.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,357787.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,326069.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,279034.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,246634.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,204523.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,174988.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,561520.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,128169.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,92725.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,63286.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,39009.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,23064.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,12233.0
8,2018,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,9442.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,567838.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,509998.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,431635.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,369164.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,339482.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,290068.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,247197.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,205365.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,179083.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,563992.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,134721.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,99825.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,69241.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,42297.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,25043.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,13220.0
9,2019,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,9788.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,576004.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,512574.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,434198.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,380898.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,353361.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,301483.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,247691.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,206166.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,183280.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,566323.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,141507.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,107197.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,75430.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,45713.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,27101.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,14248.0
10,2020,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,10142.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,584238.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,515014.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,436672.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,392925.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,367631.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,313226.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,248108.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,206909.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,187560.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,568494.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,148494.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,114806.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,81833.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,49244.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,29226.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,15306.0
11,2021,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,10507.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,592550.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,517329.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,439052.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,405284.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,382344.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,325335.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,248445.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,207597.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,191936.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,570502.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,155704.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,122684.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,88463.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,52900.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,31429.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,16402.0
12,2022,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,10881.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,600936.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,519503.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,441328.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,417977.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,397506.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,337814.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,248697.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,208226.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,196410.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,572333.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,163141.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,130831.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,95332.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,56688.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,33708.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,17537.0
13,2023,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,11267.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,609411.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,521531.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,443503.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20-24,431043.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),25-29,413163.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),30-34,350706.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35-39,248853.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40-44,208791.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45-49,200993.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5-9,573980.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),50-54,170834.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),55-59,139282.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),60-64,102465.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),65-69,60621.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70-74,36074.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),75-79,18715.0
14,2024,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),80 and over,11664.0
15,2025,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),0-4,617930.0
15,2025,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),10-14,523395.0
15,2025,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),15-19,445555.0
